campaign_id,campaign_name,channel,target_company,budget,start_date,end_date,utm_campaign
CMP-001,blog_ctc001_jan2024,blog,CTC-001,7500,2024-01-13,2024-05-07,cmp_001
CMP-002,twitter_ctc002_mar2024,twitter,CTC-002,2500,2024-03-12,2024-07-05,cmp_002
CMP-003,blog_ctc001_oct2024,blog,CTC-001,2500,2024-10-29,2025-01-12,cmp_003
CMP-004,youtube_ctc001_apr2024,youtube,CTC-001,15000,2024-04-21,2024-06-10,cmp_004
CMP-005,podcast_ctc001_oct2024,podcast,CTC-001,20000,2024-10-14,2024-11-29,cmp_005
CMP-006,blog_ctc004_apr2024,blog,CTC-004,15000,2024-04-22,2024-07-09,cmp_006
CMP-007,instagram_ctc001_jan2025,instagram,CTC-001,20000,2025-01-23,2025-03-05,cmp_007
CMP-008,newsletter_ctc003_may2024,newsletter,CTC-003,5000,2024-05-22,2024-07-01,cmp_008
CMP-009,instagram_ctc001_feb2024,instagram,CTC-001,2500,2024-02-17,2024-04-26,cmp_009
CMP-010,instagram_ctc003_nov2024,instagram,CTC-003,30000,2024-11-05,2024-12-29,cmp_010
CMP-011,youtube_ctc004_oct2024,youtube,CTC-004,10000,2024-10-01,2024-11-06,cmp_011
CMP-012,youtube_ctc003_feb2025,youtube,CTC-003,15000,2025-02-28,2025-06-09,cmp_012
CMP-013,instagram_ctc002_dec2024,instagram,CTC-002,2500,2024-12-26,2025-01-24,cmp_013
CMP-014,blog_ctc002_jan2025,blog,CTC-002,2500,2025-01-30,2025-03-29,cmp_014
CMP-015,twitter_ctc001_jul2024,twitter,CTC-001,10000,2024-07-13,2024-09-07,cmp_015
CMP-016,blog_ctc003_mar2024,blog,CTC-003,7500,2024-03-24,2024-05-31,cmp_016
CMP-017,twitter_ctc003_dec2024,twitter,CTC-003,20000,2024-12-25,2025-04-12,cmp_017
CMP-018,youtube_ctc002_sep2024,youtube,CTC-002,5000,2024-09-30,2025-01-22,cmp_018
CMP-019,twitter_ctc004_jul2024,twitter,CTC-004,20000,2024-07-13,2024-09-06,cmp_019
CMP-020,blog_ctc002_dec2024,blog,CTC-002,30000,2024-12-16,2025-02-16,cmp_020
CMP-021,youtube_ctc002_feb2025,youtube,CTC-002,30000,2025-02-24,2025-03-21,cmp_021
CMP-022,instagram_ctc004_may2024,instagram,CTC-004,5000,2024-05-17,2024-06-15,cmp_022
CMP-023,podcast_ctc003_apr2024,podcast,CTC-003,10000,2024-04-18,2024-07-31,cmp_023
CMP-024,newsletter_ctc004_mar2024,newsletter,CTC-004,5000,2024-03-14,2024-05-07,cmp_024
CMP-025,twitter_ctc003_jan2025,twitter,CTC-003,10000,2025-01-17,2025-04-22,cmp_025
CMP-026,podcast_ctc004_jul2024,podcast,CTC-004,5000,2024-07-04,2024-08-22,cmp_026
CMP-027,podcast_ctc004_feb2024,podcast,CTC-004,2500,2024-02-16,2024-06-12,cmp_027
CMP-028,youtube_ctc002_nov2024,youtube,CTC-002,30000,2024-11-17,2024-12-28,cmp_028
CMP-029,blog_ctc004_nov2024,blog,CTC-004,10000,2024-11-01,2024-11-30,cmp_029
CMP-030,newsletter_ctc004_sep2024,newsletter,CTC-004,15000,2024-09-27,2024-11-19,cmp_030
